"Image","Description"
"Indoor/indoor_5_10.jpg","an arcade with several games along the wall. circus themed with colorful lights but old school"
"Outdoor/outdoor_14_10.jpg","a small man made pond lined with concrete, stones, and plants. some plants are potted, others are not. trees in thebackground and"
"Indoor/indoor_13_2.jpg","a small chemical laboratory with several clams in a row and two fume hoods side-by-side. There are two women researchers wearing hijabs. there is also a"
"Indoor/indoor_11_9.jpg","a dim lit bar with many drinks on the shelves. a tabletop lamp and a small candle on the bartable. a screen"
"Outdoor/outdoor_4_8.jpg","a train and a man in a small building watching the train. man is wearing a safety vest. buildings and trees in the background."
"Indoor/indoor_7_2.jpg","a cramped greenhouse with many potted plants layered in shelves. it is daytime and the sun is shining in"
"Outdoor/outdoor_12_4.jpg","an old classical ruin if and archway. there is a residential apartment building behind it"
"Outdoor/outdoor_6_3.jpg","a very long suspension bridge with very little traffic. cannot see the ends of the bridge. a bus and a few cars visible"
"Outdoor/outdoor_10_1.jpg","a soccer stadium in the middle of a match. the bleachers are packed and the players are on the field"
"Outdoor/outdoor_8_9.jpg","a street. cars are stopped at red light. pedestrians walking on red cobblestone sidewalk. slightly old buildings. a small church with a clo"
"Outdoor/outdoor_10_15.jpg","A large stadium with a large crowd. The stadium seems to be a football stadium. There is an oval-like shape to the stadium and large signboards on the upper end of the stadium. There are two goal posts and marked lines on the court indicating where to play"
"Indoor/indoor_7_13.jpg","This image depicts a greenhouse with one variety of plant. The greenhouse is white and there is a door that exits to another department and their is a roof surrounding the greenhouse"
"Indoor/indoor_5_12.jpg","An arcade with bright LED lights located nearly everywhere. There is a prize zone area where customers would cash their prizes. There are a multitude of entertainment games available\n"
"Indoor/indoor_6_15.jpg","A facility that is hanging flags from the ceiling boundto strings. Flags shown are Italy, Greece, Lebanon among others\n"
"Outdoor/outdoor_9_14.jpg","A skatepark with a ramp and platform. The skatepark is located in a suburban area and near many houses."
"Outdoor/outdoor_12_9.jpg","An old fashioned architectural building with pillars and a window view from above. There is also green grass and a waterfield below on the bottom half of the building. "
"Indoor/indoor_9_3.jpg","There is an ice skating facility where there a multitude of people with ice skates rolling on ice. The majority of people are children and there is a united states flag and Canadian flag in the background"
"Indoor/indoor_13_14.jpg","There are two males in a lab or research facility who are looking at devices on a table below. One man is wearing a long gray sleeve shirt and the other man is wearing a light blue shirt"
"Outdoor/outdoor_6_3.jpg","A long bridge that goes over a large pool of water. There is a truck going down the bridge on the left side. The structure seems to be going onwards and supported by planks"
"Outdoor/outdoor_4_10.jpg","A train station with an old building near rails. There is trees located nearby and there is cars near a presumed parking lot near the station"
"Outdoor/outdoor_8_10.jpg","A town or city center where there is a variety of buildings and a large blue building that is uses squares as patterns. The view looks like a mix of modern and old textures"
"Outdoor/outdoor_14_12.jpg","A lakeside view of a field. There are green trees and a variety of plants and leaves on the ground, there is a medium sized lake completing the view"
"Indoor/indoor_11_12.jpg","A bar which seems to be very old fashioned. There is a variety of liquor available on the shelf and there is a range of lighting on the ceiling "
"Outdoor/outdoor_8_14.jpg","Picture of road with multiple cars, and very tall buldings either side. The sky is dull and grey, no sun to be seen"
"Indoor/indoor_12_1.jpg","Hospital room that includes personal television, visitor chair with leg rest, and many different drawers and c"
"Indoor/indoor_10_1.jpg","Stadium that is roughly half packed, appears that people are gathering to watch a basketball game"
"Outdoor/outdoor_11_14.jpg","Graveyard along a road within a forest. The sun shines through the leaves upon the many gravstones"
"Indoor/indoor_9_14.jpg","Well lit ice-skating rink, with viewing area. Many ice skaters are on the ice enjoying themselves"
"Outdoor/outdoor_9_14.jpg","sick skatepark my dude, check out that mad down rail! We even got a ledge to practise grinds on. Wow, check out that stairset, I think I can olly a 4 stair dude"
"Indoor/indoor_2_9.jpg","Crusty old barn with some crusty old hay bales that are stacked to the ceiling, I wonder if the cows think this is good munch"
"Outdoor/outdoor_1_12.jpg","Small boat beached on beautiful desert island. Mooored using a rope around the palm tree"
"Outdoor/outdoor_6_12.jpg","Railway bridge, below a car bridge, above a sick river, with some awesome snowy mountainsts in the background\n"
"Outdoor/outdoor_2_9.jpg","A pretty farm scene with golden lens flare and warm, cloudy blue skies. There is a large red barn and a couple of silos. The buildings and farmland are well-maintained, with neat rows of an unidentifiable crop growing in the foreground. The trees have few leaves, so it may be late winter."
"Indoor/indoor_12_12.jpg","A hospital room for a single occupant. There is an adjustable hospital bed and some limited furnishings, such as a table and two chairs by the window for guests. There is a bedside table fixed to the wall. The walls themselves are plain and grey. There are bathroom facilities in a separate room leading off from the main room on the right. There is a "
"Outdoor/outdoor_11_6.jpg","A graveyard overlooking a green, tree-filled valley. The gravestones look old, and some are very worn. The grass is somewhat yellowing and dry-looking, but cut short enough to be clearly maintained. In the distances there are mountains, and the forest in the valley looks lush and green. Many gravestones have crosses on them."
"Indoor/indoor_14_14.jpg","A clean public bathroom with white-tiled walls and a beige-tiled floor. The furnishings are stainless steel; you can see sinks with soap dispensers, hand driers and trash cans on the walls. Th"
"Outdoor/outdoor_15_12.jpg","A bright ski slope with flags for slalom skiers, and some skiing figures. The sun is bright and the sky is clear and blue, with only one very wispy cloud hovering up above. There are snowy mountains overlooking the slope."
"Outdoor/outdoor_8_15.jpg","This looks like a computer composite image of a warm city centre street in the daytime. There is a man on a bicycle riding through, and a man stopping to read his phone on the other side of the street. The road is red brick. There are tables and chairs placed in the middle of the street, indicating that it is not a place where cars are allowed to drive. There is some greenery."
"Outdoor/outdoor_9_13.jpg","A concrete bowl from a skateboarding park. It rises and dips across a good 25 metres, with various lips for skateboarders to ride down and grind along. The concrete is a little worn and scratched up from use. There are trees in the background, and the greenery of a park. There are no skaters in t"
"Outdoor/outdoor_6_13.jpg","A metal bridge stretching across a rocky, dusty ravine with a green-blue, still stretch of water far below. The bridge is arched underneath but entirely flat on the top, with traffic driving over and some lampposts or power lines stretching across it. It appears to be in a desert-type setting, with scrub and bushes lining the banks,  but it is not entirely arid. The water"
"Indoor/indoor_15_9.jpg","A busy room full of teenagers. This may be a school cafeteria. The students look happy and sociable, interacting in groups across their tables. The tables are long, perhaps made up of two six-seater tables pushed up against one another in rows. There is an American flag at the window. The walls are plain. The students are not wearing uniforms, but instead their own casual clothing."
"Indoor/indoor_13_1.jpg","A science laboratory with three figures - one with white-blonde hair in a ponytail, one with short brown hair, and one with light brown hair in a ponytail. All three wear labcoats, and at least two have lime green rubber gloves as they work on an experiment. There are a number of rolling blue office chairs. The room is fairly narrow, with benches and storage cabinets lining either side. A "
"Indoor/indoor_6_12.jpg","A beige-brown school corridor with low synthetic lighting. There are some students heading into a classroom on the right, and others walking along the corridor further down. There are lockers lining the hallway, and windows letting light flow between the hallway and the classrooms above the lockers. The students seem to be in some kind of uniform, with several students wearing simil"
"Indoor/indoor_9_2.jpg","An ice skating rink with plenty of skaters on it of varying ages. The rink is lit by lights rigged to a metal frame that hangs over the rink, and plexiglass seems to be mounted around the edge of the rink. The walls are painted in a colourful des"
"Outdoor/outdoor_13_14.jpg","A number of construction workers either constructing or deconstructing an indeterminate structure. They are wearing some limited safety equipment, as each is wearing a yellow helmet, but they are also in t-shirts with limited protection for their arms and legs. They are working with wooden planks. It is difficult to make out wha"
"Outdoor/outdoor_7_13.jpg","A lush green path in a verdant forest setting. A large tree trunk in the front of the frame looks like it may  be tropical in nature, so this could be a rainforest. The ground is muddy, and there is no man-made path, or any other man-made object, in the frame. The canopy blocks out the sky, but still lets light through to the grou"
"Indoor/indoor_8_12.jpg","A shopping mall with two 3 large escalators and a seating area on the lower floor.\n"
"Indoor/indoor_12_8.jpg","A hospital room with three hospital beds and curtains separating each one from the other."
"Outdoor/outdoor_11_2.jpg","A cemetery with scattered tombstones in the shape of large white crosses in the grass."
"Indoor/indoor_10_9.jpg","A crowded stadium with a basketball court in the center and basketball players in the midst of a game."
"Outdoor/outdoor_9_10.jpg","An empty skateboard park with large ramps and two red cars in the background behind some fencing."
"Indoor/indoor_14_9.jpg","A well-kempt, empty bathroom with multiple empty stalls and a decorative red panel of tiles in the background."
"Indoor/indoor_6_11.jpg","An elementary/primary school corridor, with a shelf cluttered with children's school bags and other belongings."
"Outdoor/outdoor_13_10.jpg","An empty building site with multiple pieces of scaffolding around the buildings in preparation for construction work."
"Outdoor/outdoor_3_1.jpg","An empty park pathway surrounded by bright greenery and benches, as well as two red wooden bins next to them."
"Outdoor/outdoor_14_15.jpg","A vast landscape with a lake in the center, surrounded by trees and countryside greenery."
"Indoor/indoor_4_12.jpg","A busy airport with a destinations panel in the foreground, with multiple people queuing up to check-in their luggage."
"Outdoor/outdoor_6_14.jpg","A very large bridge in the United States, with vast water and boats below it, surrounded by impressive buildings."
"Outdoor/outdoor_15_1.jpg","A very snowy landscape with a man skiing down the pathway, and trees in the background."
"Outdoor/outdoor_7_10.jpg","A nature trail surrounded by trees and other nature, with two dirt paths coming down the center, separated by a strip of grass."
"Outdoor/outdoor_15_1.jpg","Many trees in background, skier going down a slick and snowy hill, very pretty blue sky.\n"
"Outdoor/outdoor_11_1.jpg","Graveyard on a sunny day, probably in fall. There are brown leaves strewn across the grass."
"Outdoor/outdoor_9_3.jpg","Skateboard park in the midst of a brown stark landscape. The trees have no leaves, and there is one skateboarder in front of a building."
"Indoor/indoor_6_9.jpg","School hallway, with many colorful drawings on the wall. A lot of them have rainbows, and there is the olympic symbol"
"Outdoor/outdoor_6_15.jpg","a beautiful bridge over fairly still water, with plush, green trees behind it. The bridge is shining orange from the sun, it may be evening"
"Outdoor/outdoor_7_3.jpg","very bright, neon green trees, in a wooded area. There is a pathway and there is a bunch of green on the sides of the pathway."
"Indoor/indoor_14_2.jpg","a clean, stark bathroom. Blue stall doors, and clean white sinks. Very blank, but clean appearance"
"Outdoor/outdoor_13_8.jpg","a messy building being constructed. There are cranes and bulldozers seen in the distance if you look close enough."
"Indoor/indoor_8_1.jpg","A view of both the upper level and lower level of the mall. It is around christmas time, as there are christmas trees."
"Indoor/indoor_4_3.jpg","an airport. Not very crowded, you can see a samsung station as well. a bunch of empty seats"
"Outdoor/outdoor_5_1.jpg","a fair. You can see a merry go round, and a ferris wheel. Bunch of bright colors, and on the side you can see bushes with beautiful purple and red flowers.\n"
"Outdoor/outdoor_3_1.jpg","an empty park during daytime. Bright green trees and empty benches on the sides, with not a person in sight"
"Indoor/indoor_2_1.jpg","a barn full of dry, yellow hay. Looks very bright inside the barn, perhaps it's daytime"
"Indoor/indoor_14_14.jpg","An upscale public bathroom. It features sinks and all the other amenities you'd expect from a bathroom."
"Outdoor/outdoor_9_15.jpg","A suburban outdoors skatepark. There's power lines nearby it along with homes and businesses in the distance."
"Indoor/indoor_6_14.jpg","A busy highschool hallway featuring lots of students crowding the hallway. Students are chatting with each other."
"Outdoor/outdoor_2_1.jpg","Farm house with a very blue sky and very green grace. Looks like a sunset or sunrise. There is a long shaped cloud in the sky which may be a chemtrail\n"
"Indoor/indoor_1_1.jpg","Indoor swimming pool which are lit by 4 round orb lights. There are green plant decorations in the background and some comfy looking cushioned seats around."
"Outdoor/outdoor_15_1.jpg","One person is skiing down a slope. The snow is marked with many vertical lines. There are lights to the left."
"Outdoor/outdoor_14_1.jpg","A picture of a pond. There is a bush to the left. A family of sucks a the the bottom left of the picture. There are many trees in the back."
"Indoor/indoor_7_1.jpg","A picture of a greenhouse. There is a walkway in the middle of two tables with many different leafy plants. The walk way has a basic white arch at the end. There is a house on the floor o"
"Indoor/indoor_8_1.jpg","A shopping centre with two floors. There are flat silver star decorations hanging from the cielding. There is a \""koziol\"" stall in the middle of the ground floor."
"Outdoor/outdoor_13_1.jpg","A very cluttered construction site. There are many yellow tops on the ground which are supported by many poles. There is a sign thats says \""bylor\"" at the bottom right/"
"Indoor/indoor_11_1.jpg","A coffee shop with wood ceilings. There are chalkboard menus behind a bar. there are 2 ambient lights above the bar."
"Indoor/indoor_12_1.jpg","A hospital room with 1 bed to the left, a open door at the foot of the bed. The door faces a blue chair with a footstool. There is a TV at the other end of the bed."
"Outdoor/outdoor_1_1.jpg","A beach with a palm tree leaning in from the right, it casts a small shadow below it. There is a person walking away from the palm tree in the back"
"Outdoor/outdoor_6_1.jpg","there is a red bridge with two large supporting beams. The bridge if over a river. There is a city on the right side of the bridge."
"Outdoor/outdoor_11_1.jpg","A cemetery. There is a cross shaped headstone to the left. There are broken headstones next to it on the right. It looks like fall, the trees have no leafs in the back"
"Outdoor/outdoor_4_1.jpg","A train station with a silver and blue train stopped there. The time on the clock is 2:36, There is a women on the left who looks like she just got out of bed."
"Indoor/indoor_9_1.jpg","People skating in a rink. There is 2 adult men in the centre with 2 younger girls between them, they are holding hands. to the left of this group is a kid with a helper station"
"Outdoor/outdoor_10_1.jpg","A football stadium. The players are on the left side of the field. There are many white, red and blue colours for the people in seats\n"
"Indoor/indoor_3_1.jpg","A library with two floors. There are ladders on the top levels. The floor and the ladders are wood. At the end of the hallway is a large window. The ceiling has a "
"Indoor/indoor_10_1.jpg","A basketball court. The colours of the audience is mostly orange. There is a giant S in the middle of the yellow and orange court floor. There is a scoreboard to the right of the audience"
"Outdoor/outdoor_8_1.jpg","A city street. The traffic signs are green. There are 3 signs to the left and 1 sign to the right. There is a black car in the left lane. There is a white truck in the middl"
"Indoor/indoor_2_1.jpg","There are 3 hay piles in the middle of the picture on the ground, behind them is a higher level with more hay piles. There is a ladder to the left that leads upwards to the get up"
"Indoor/indoor_4_1.jpg","An airport, There is a sign on the top left of the picture. There is a seating area to the right and a walkway in the middle. There are stores to the left."
"Indoor/indoor_14_1.jpg","The toilets. There is a picture tiled walls, with a sink to the left. There are 3 soap dispensers to the left and wooden toilet stall doors on the right. "
"Outdoor/outdoor_9_1.jpg","A skate park with w skaters in it. There is a house behind the ramps in the centre. There is a red sign on the right that says \""spy\"""
"Outdoor/outdoor_3_1.jpg","A park with many trees. There are garbage cans between each set of 2 benches. There are rectangular patterns on the groind."
"Outdoor/outdoor_5_1.jpg","A theme park. There is a large red farris wheel in the back; there is a merry-go-round in front of the wheel to the right. There is a garden on the left"
"Indoor/indoor_5_1.jpg","An arcade There is a \""Lane Master\"" sandwiched between \""connect 4\"" and \""Ore\"" They all light up with colours. There is a green frog to the right"
"Outdoor/outdoor_12_1.jpg","A stone arch. The arch is broken in the outer ends. There are trees in the back in a grass field. "
"Indoor/indoor_6_1.jpg","A institution. There are students wearing backpacks. The ceiling has banners hanging from it on the right. There are pictures of past alumnis handing "
"Outdoor/outdoor_7_1.jpg","A forest with a dirty train in the middle. There are many long and thin tree trunks."
"Indoor/indoor_13_1.jpg","A lab. There is glass panel to the left that reflects the orange cupboards its facing. There are 3 people "
"Indoor/indoor_15_1.jpg","A cafeteria with red/biege tables, each table has 6 chairs. It is on a balcondy with open walls"
"Outdoor/outdoor_14_1.jpg","A large pond with green trees in the back, and a family of ducks swimming nearby."
"Outdoor/outdoor_5_1.jpg","Red ferris wheel overlooking a carnival with families. Red and purple flowers to the left."
"Outdoor/outdoor_12_1.jpg","Ancient stone gateway in the middle of a forest. There is moss growing on top of it."
"Indoor/indoor_5_1.jpg","theres empty arcade with connect 4, lane master with, and ski ball for kids and teenagers. "
"Outdoor/outdoor_2_1.jpg","A red barn during the sunset overlooking green pastures. More nearby red barns are in the back and soft clouds above."
"Indoor/indoor_4_1.jpg","In the middle of a busy airport with the muted beige tones and royal blue chairs. people everywhere rushing to their flight."
"Indoor/indoor_6_1.jpg","a group of highschool kids walking to class, with white nikes. Varsity banners hang up above."
"Indoor/indoor_11_1.jpg","A rustic looking bar with shiny marble countertops and a fully stocked inventory. Dim lighting to add to the ambience"
"Indoor/indoor_15_1.jpg","A fully packed foodcourt pre covid-19, red and yellow tabletops everywhere in an ethnic country."
"Outdoor/outdoor_4_1.jpg","woman waiting for her blue and red train in an old countryside. more people waiting in the back."
"Indoor/indoor_12_1.jpg","An empty hospital room with wooden cabinets, and medical equipment nearby. White walls and floors/."
"Indoor/indoor_9_1.jpg","Families teaching their daughters how to ice skate. Rows of championship banners in the back."
"Indoor/indoor_2_1.jpg","multiple bails of hay inside a wooden barn. light just shining through the cracks of the barn "
"Indoor/indoor_1_1.jpg","empty turquoise pool with 2 planters facing it . more  chairs scattered around the area"
"Indoor/indoor_10_1.jpg","a packed college sporting event full of orange Syracuse jerseys in the middle of an intermission  "
"Outdoor/outdoor_8_1.jpg","multiple one way streets in the middle of a busy city.  Truck ahead braking "
"Indoor/indoor_14_1.jpg","Purple tiled walls and wooden stall doors in a small public bathroom. Colour scheme is erratic"
"Indoor/indoor_13_1.jpg","3 doctors working in a medical laboratory, all wearing safety goggles and neon green gloves"
"Outdoor/outdoor_7_1.jpg","a curved brown trail going through some tall thin trees through green high grass filled with ticks"
"Outdoor/outdoor_10_1.jpg","wide angle shot of a packed soccer stadium in the middle of a game. Red advertisements going around the field. "
"Indoor/indoor_7_1.jpg","in the middle of a greenhouse with different types of plants nearby, and a few purple ones to the right"
"Outdoor/outdoor_6_1.jpg","The golden gate bridge overlooking San Francisco during the sunset, White wispy clouds overhead as well"
"Outdoor/outdoor_15_1.jpg","Guy skiing in the middle of winter. ridges along the snow everywhere on a freshly done course"
"Outdoor/outdoor_1_1.jpg","A tropical paradise, with a palm tree overlooking turquoise blue waters, and a woman walking the beach nearby"
"Outdoor/outdoor_9_1.jpg","an almost empty skatepark with a lone skater in a white shirt about to drop in. Red SPY+ sticker behind him"
"Indoor/indoor_8_1.jpg","in the middle of a busy mall during the Christmas season with wreaths everywhere. Quicksilver and Roxy beside each other on the left"
"Outdoor/outdoor_11_1.jpg","A few grey tombstones over looking a graveyard in the middle of the fall with dead leaves on the ground"
"Outdoor/outdoor_13_1.jpg","A giant commercial construction project being done on a sunny day. Yellow beams being erected below"
"Outdoor/outdoor_11_1.jpg","a place where people go to see their loved ones who have passed on. its a really sad place."
"Indoor/indoor_2_1.jpg","a farm where animals are kept warm and comfortable. usually in the country side away "
"Indoor/indoor_12_1.jpg","hospital bed where sick people are kept. the bed cover is blue in colour and empty. the door is open. "
"Indoor/indoor_1_1.jpg","very rich and fancy looking. the pool is very blue and beautiful in colour. thees no one swimming "
"Indoor/indoor_4_1.jpg","theres a lot of people waiting to travel. there are a few empty chairs there and here. there's a person in blue waling "
"Outdoor/outdoor_14_1.jpg","its a beautiful leak and the grass is green and healthy there are a few ducks in the leakand the sky is blue "
"Indoor/indoor_8_1.jpg","its a mall where people do there shopping. its in December because there are chrismas tress around, busy peole"
"Outdoor/outdoor_9_1.jpg","skating park where teen go and have fun, there's one person in blue waiting skate looks dangerpos f y"
"Indoor/indoor_14_1.jpg","toilet where people go to free themsevles the walls are blue the doors are open and it looks empty with "
"Indoor/indoor_15_1.jpg","a caf where people come together whether with friend or family to enjoy good and drinks "
"Outdoor/outdoor_8_1.jpg","city very busy with all types of people there's a lot of cars around signs plaints "
"Outdoor/outdoor_7_1.jpg","theres a lot of trees a perfect place for people who love the out doors and hiking amaing for spending time with friends "
"Indoor/indoor_13_1.jpg","a lad where medicine is made, qualified doctors in white lab coats one doctor is sitting on "
"Indoor/indoor_5_1.jpg","game acade where kids and adults go to make fun and a nice time a lot of colourful "
"Indoor/indoor_11_1.jpg","a bar where one drinks liqour eitehr alone or with friends fun place to hang beautiful lights nad "
"Outdoor/outdoor_2_1.jpg","farm country side away from the city no noise beautiful skies green grass red house "
"Indoor/indoor_6_1.jpg","school a place of education there are students walking down the hallway going to class with their bads o there backs one is wearing w"
"Indoor/indoor_10_1.jpg","bastket ball players are playing a gmae there are a lot of fans watching the game it is supe"
"Outdoor/outdoor_5_1.jpg","carnival where kids go to enjoy them =sevles merry go around os there candy is sold there "
"Indoor/indoor_3_1.jpg","books books booksboook books books books books books books books books books books books books books books books books "
"Outdoor/outdoor_4_1.jpg","train stations theres a huge clock on the wall there a lady in blue waiting for a train or a loved one to come from the train"
"Outdoor/outdoor_3_1.jpg","the park a place to relax and enjoy the company fo family and friends were you can take your g=dog for a walk and play with it"
"Outdoor/outdoor_13_1.jpg","building something for the future maybe a mall where people can do their shopping or a stadium for people tp"
"Outdoor/outdoor_1_1.jpg","holiday season getaway blue skies and ocean the sand is white the tress are beautiful"
"Outdoor/outdoor_4_1.jpg","There is a blue train, number 629 waiting to go at the platform. There is one lone woman standing outside who is holding a blanket. It is just after 6 o'"
"Indoor/indoor_10_1.jpg","There is a netball game in play. A lot of fans are wearing orange in support. There are a lot of people in the crowd watching the game. The team is Syracruse. "
"Outdoor/outdoor_2_1.jpg","There is a large farmhouse in what looks to be a rural area. The grass is perfectly maintained and very green. It is a slightly cloudy day but a lot of blue sky. There are a couple of neighboring houses/barns."
"Outdoor/outdoor_5_1.jpg","This looks to be an amusement park. There is a large ferris wheel and a merry-go-round with some children on it. The park looks quite quiet, not a lot of people walking around. It is an overcast day. "
"Outdoor/outdoor_13_1.jpg","This is a construction site. It looks like they are building either big apartment buildings or a big mall. The company is called Bylor. It is a very sunny day. "
"Indoor/indoor_5_1.jpg","These are games in an arcade. They have a large Connect 4 game as well as a bowling game called Lane Master. There is also a Skee Ball game. Dimmed lights. "
"Outdoor/outdoor_7_1.jpg","This is lovely walkway out in the bush/forest area. It's very green and well maintained. There are lots of trees and greenery. \n"
"Outdoor/outdoor_10_1.jpg","There is a football game underway, this is a huge stadium that looks to be almost fully packed out with fans. It looks to be held in Germany. "
"Outdoor/outdoor_15_1.jpg","A man skiing in the snow. He looks to be one of the first skiiers of the day as the snow is freshly lined up. It's a slightly overcast day."
"Indoor/indoor_4_1.jpg","People walking around in the airport. This looks to be in Mexico or Spain owing to the signage. Lots of people walking around. Sign for restrooms and gates C9"
"Indoor/indoor_2_1.jpg","Lots of hay bales in a wooden bar. Looks like they still have further work to do as there's still lots of hay on the floor. Ceiling has quite a few spider webs. Looks to be some holes in the wall. "
"Indoor/indoor_1_1.jpg","Large indoor pool. Looks like it could be in a hotel. The pool depth gets to 8 feet.  There are some nice chairs to sit in  around the pool. Good lighting."
"Indoor/indoor_6_1.jpg","This looks like students walking around their school hall. Some are walking alone, some with friends. There are banners handing down from the roof and lots of pictures on the walls. Almost all have backpacks."
"Indoor/indoor_13_1.jpg","Scientists working in the lab. One has bright neon green gloves on. One man and two women. All are wearing protective goggles. It looks sterile and clean. All wearing comfortable trainers/crocs"
"Indoor/indoor_14_1.jpg","A clean public bathroom with a purple tiled wall. There looks to be three cubicles and 5 taps that can be seen. The floor is white tile. There is hand soap and dryer. "
"Outdoor/outdoor_12_1.jpg","A rounded stone archway out in nature. It looks quite old and has some greenery growing out of it. There are lots of trees surrounding it. "
"Outdoor/outdoor_6_1.jpg","San Francisco red iconic bridge. Mountains in the distance and the city area also in the distance. Ocean underneath the bridge. A few cars on the bridge. Overcast day. "
"Indoor/indoor_12_1.jpg","A clean private hospital room. It has nice wooden cabinetry all around the room. A TV. The hospital bed has a blue blanket with a white and gray pillow. There is a nice blue chair with foot rest for visitors. "
"Indoor/indoor_9_1.jpg","Families going ice skating together at an indoor ice skating rink. Some kids are using the supports to help them learn. Mostly fathers present with their kids, no mothers I can see. All kids look to be girls as well. "
"Outdoor/outdoor_1_1.jpg","A tropical paradise destination, could be Hawaii, Fiji or one of the islands in the Pacific. Lovely light blue water, white sand, palm trees, shaded umbrellas. Not a lot of people on the beach. "
"Outdoor/outdoor_3_1.jpg","A public park, completely deserted, not one person can be seen. Sets of benches. Lots of bright green trees, cobbled foot paths. Lots of bins. "
"Indoor/indoor_3_1.jpg","An impressive two level library. Lots of books. Ladders available to reach higher shelves. Ceiling looks antique and original. Lovely glass windows. "
"Outdoor/outdoor_9_1.jpg","A public skate park. There is a half pipe and other places for people to skateboard. There is one person skating that can be seen and one spectator. A nice day, only slightly cloud. "
"Outdoor/outdoor_8_1.jpg","A central city road with three lanes. Tall buildings either side of the road. There is one truck and quite a few cars. The lights are all green."
"Indoor/indoor_11_1.jpg","An empty bar. There are three barstools. Chalkboards behind the bar showing menu options. Bar has granite counter with wooden sides. "
"Indoor/indoor_8_1.jpg","This is a multi-level mall. Not very busy. Near the Christmas season as there are lots of decorations. There are lots of clothign stores like Quiksilver, Roxy, Levi's. "
"Outdoor/outdoor_14_1.jpg","A quiet pond with a few ducks swimming in it. Greenery all around the pond. Quite a cloudy day. "
"Indoor/indoor_7_1.jpg","A plant shop. Lots of plans for sale of all colors and varieties. There are two aisle on display with a hose pipe running down between the aisles. "
"Indoor/indoor_15_1.jpg","A busy food court, all patrons are Indian so could be in India. There are only three tables that are unoccupied. "
"Outdoor/outdoor_11_1.jpg","A cemetery. A gravestone with a large H on it, which must stand for Hunt. It looks like autumn as there are no leaves on the trees, they're all on the floor. "
"Outdoor/outdoor_12_1.jpg","an archway of stone in a forest, it is grey and the background of the image is green. it all contrasts and is central to the frame.\n"
"Indoor/indoor_7_1.jpg","there is a plant nursery, plants line the walkway and are very green with the odd purple plant. it is all in a huge greenhouse"
"Outdoor/outdoor_14_1.jpg","a calm, still lake with some ducks swimming on it, laying on the surface you  can see the reflection of the trees on land"
"Outdoor/outdoor_9_1.jpg","to the left there is a person balancing on the edge of one of the skate parks surfaces, in the background there is a rather large half pipe ramp"
"Indoor/indoor_3_1.jpg","a tall towering library with books to the ceiling, it has soft light and brown hues making it peaceful"
"Indoor/indoor_6_1.jpg","numerous students at a school, potentially walking to class.  the clothes of the individuals are monotone and very simple"
"Outdoor/outdoor_6_1.jpg","the golden gate bridge is huge and stretches over a mass of water. the red of the bridge helps it stand out and makes it sp iconic"
"Outdoor/outdoor_7_1.jpg","a green woodland area with a winding path leading into the greenery of the woods"
"Outdoor/outdoor_1_1.jpg","a tranquil beach which only the person in the distance and the palm tree shadow are the only things to touch this part f the beach"
"Outdoor/outdoor_13_1.jpg","a busy chaotic construction yard. I wonder if we will go back to working in offices"
